Unit Name,Country,Status,Type,Latest Reference Unit Power(net),Construction Date,Grid Date,Commercial Date
MONJU,JAPAN,Long-term Shutdown,FBR  ,246,1986-05-10,1995-08-29,
SANTA MARIA DE GARONA,SPAIN,Long-term Shutdown,BWR  ,446,1966-09-01,1971-03-02,1971-05-11
ATUCHA-1,ARGENTINA,Operational,PHWR ,335,1968-06-01,1974-03-19,1974-06-24
ATUCHA-2,ARGENTINA,Operational,PHWR ,692,1981-07-14,2014-06-27,
EMBALSE,ARGENTINA,Operational,PHWR ,600,1974-04-01,1983-04-25,1984-01-20
ARMENIAN-2,ARMENIA,Operational,PWR  ,375,1975-07-01,1980-01-05,1980-05-03
DOEL-1,BELGIUM,Operational,PWR  ,433,1969-07-01,1974-08-28,1975-02-15
DOEL-2,BELGIUM,Operational,PWR  ,433,1971-09-01,1975-08-21,1975-12-01
DOEL-3,BELGIUM,Operational,PWR  ,1006,1975-01-01,1982-06-23,1982-10-01
DOEL-4,BELGIUM,Operational,PWR  ,1033,1978-12-01,1985-04-08,1985-07-01
TIHANGE-1,BELGIUM,Operational,PWR  ,962,1970-06-01,1975-03-07,1975-10-01
TIHANGE-2,BELGIUM,Operational,PWR  ,1008,1976-04-01,1982-10-13,1983-06-01
TIHANGE-3,BELGIUM,Operational,PWR  ,1038,1978-11-01,1985-06-15,1985-09-01
ANGRA-1,BRAZIL,Operational,PWR  ,609,1971-05-01,1982-04-01,1985-01-01
ANGRA-2,BRAZIL,Operational,PWR  ,1275,1976-01-01,2000-07-21,2001-02-01
KOZLODUY-5,BULGARIA,Operational,PWR  ,963,1980-07-09,1987-11-29,1988-12-23
KOZLODUY-6,BULGARIA,Operational,PWR  ,963,1982-04-01,1991-08-02,1993-12-30
BRUCE-1,CANADA,Operational,PHWR ,760,1971-06-01,1977-01-14,1977-09-01
BRUCE-2,CANADA,Operational,PHWR ,730,1970-12-01,1976-09-04,1977-09-01
BRUCE-3,CANADA,Operational,PHWR ,750,1972-07-01,1977-12-12,1978-02-01
BRUCE-4,CANADA,Operational,PHWR ,750,1972-09-01,1978-12-21,1979-01-18
BRUCE-5,CANADA,Operational,PHWR ,817,1978-06-01,1984-12-02,1985-03-01
BRUCE-6,CANADA,Operational,PHWR ,817,1978-01-01,1984-06-26,1984-09-14
BRUCE-7,CANADA,Operational,PHWR ,817,1979-05-01,1986-02-22,1986-04-10
BRUCE-8,CANADA,Operational,PHWR ,817,1979-08-01,1987-03-09,1987-05-22
DARLINGTON-1,CANADA,Operational,PHWR ,878,1982-04-01,1990-12-19,1992-11-14
DARLINGTON-2,CANADA,Operational,PHWR ,878,1981-09-01,1990-01-15,1990-10-09
DARLINGTON-3,CANADA,Operational,PHWR ,878,1984-09-01,1992-12-07,1993-02-14
DARLINGTON-4,CANADA,Operational,PHWR ,878,1985-07-01,1993-04-17,1993-06-14
PICKERING-1,CANADA,Operational,PHWR ,515,1966-06-01,1971-04-04,1971-07-29
PICKERING-4,CANADA,Operational,PHWR ,515,1968-05-01,1973-05-21,1973-06-17
PICKERING-5,CANADA,Operational,PHWR ,516,1974-11-01,1982-12-19,1983-05-10
PICKERING-6,CANADA,Operational,PHWR ,516,1975-10-01,1983-11-08,1984-02-01
PICKERING-7,CANADA,Operational,PHWR ,516,1976-03-01,1984-11-17,1985-01-01
PICKERING-8,CANADA,Operational,PHWR ,516,1976-09-01,1986-01-21,1986-02-28
POINT LEPREAU,CANADA,Operational,PHWR ,660,1975-05-01,1982-09-11,1983-02-01
CEFR,CHINA,Operational,FBR  ,20,2000-05-10,2011-07-21,
CHANGJIANG-1,CHINA,Operational,PWR  ,610,2010-04-25,2015-11-07,
DAYA BAY-1,CHINA,Operational,PWR  ,944,1987-08-07,1993-08-31,1994-02-01
DAYA BAY-2,CHINA,Operational,PWR  ,944,1988-04-07,1994-02-07,1994-05-06
FANGCHENGGANG-1,CHINA,Operational,PWR  ,1000,2010-07-30,2015-10-25,
FANGJIASHAN-1,CHINA,Operational,PWR  ,1000,2008-12-26,2014-11-04,2014-12-15
FANGJIASHAN-2,CHINA,Operational,PWR  ,1000,2009-07-17,2015-01-12,2015-02-12
FUQING-1,CHINA,Operational,PWR  ,1000,2008-11-21,2014-08-20,2014-11-22
FUQING-2,CHINA,Operational,PWR  ,1000,2009-06-17,2015-08-06,2015-10-16
HONGYANHE-1,CHINA,Operational,PWR  ,1061,2007-08-18,2013-02-17,2013-06-06
HONGYANHE-2,CHINA,Operational,PWR  ,1061,2008-03-28,2013-11-23,2014-05-13
HONGYANHE-3,CHINA,Operational,PWR  ,1000,2009-03-07,2015-03-23,2015-08-16
LING AO-1,CHINA,Operational,PWR  ,950,1997-05-15,2002-02-26,2002-05-28
LING AO-2,CHINA,Operational,PWR  ,950,1997-11-28,2002-09-14,2003-01-08
LING AO-3,CHINA,Operational,PWR  ,1007,2005-12-15,2010-07-15,2010-09-15
